Temp,Humidity,Wind,Soil,Vegetation,Rainfall,Risk
-17.5,56,13,2,0,28.0,2
-17.9,58,11,2,2,29.0,2
-18.1,61,15,2,1,30.5,2
-18.5,59,13,0,1,29.5,2
-18.5,59,13,0,0,29.5,2
-18.6,62,9,0,0,31.0,1
-18.5,61,11,1,0,30.5,2
-18.2,60,11,0,1,30.0,2
-17.8,57,17,2,1,28.5,2
-16.8,61,9,0,1,30.5,1
-15.2,63,7,0,1,31.5,1
-14.2,56,13,2,1,28.0,2
-13.7,51,11,1,2,25.5,2
-12.4,53,11,0,0,26.5,2
-11.3,53,7,1,1,26.5,1
-10.2,61,11,1,2,30.5,2
-9.4,61,13,1,2,30.5,2
-8.9,71,9,2,2,35.5,1
-8.9,75,11,1,1,37.5,2
-8.4,71,9,1,1,35.5,1
-7.8,71,9,2,0,35.5,1
-7.6,73,7,1,0,36.5,1
-9.5,77,6,1,1,38.5,1
-9.6,79,6,2,0,39.5,1
-8.8,79,4,2,2,39.5,1
-7.5,81,0,0,2,40.5,1
-5.4,80,9,0,1,40.0,1
-5.0,81,11,0,2,40.5,2
-4.1,83,9,1,2,41.5,1
-7.0,82,4,1,0,41.0,1
-8.2,82,6,1,1,41.0,1
-7.1,82,9,2,0,41.0,1
-6.1,79,11,1,2,39.5,2
-6.6,76,9,0,1,38.0,1
-6.0,73,17,2,1,36.5,2
-5.6,70,22,2,2,35.0,2
-4.7,69,20,2,2,34.5,2
-4.4,66,26,0,1,33.0,2
-5.1,65,22,0,2,32.5,2
-4.3,55,26,0,2,27.5,2
-5.0,55,19,2,1,27.5,2
-6.7,56,11,2,1,28.0,2
-7.1,56,11,1,0,28.0,2
-9.2,61,7,1,0,30.5,1
-9.8,62,9,0,0,31.0,1
-9.0,63,13,2,2,31.5,2
-9.9,63,7,1,0,31.5,1
-9.4,61,9,0,0,30.5,1
-9.6,56,13,0,2,28.0,2
-10.0,55,17,1,2,27.5,2
-10.5,61,9,0,2,30.5,1
-10.6,64,0,2,0,32.0,1
-11.3,68,15,0,0,34.0,2
-11.8,71,19,2,1,35.5,2
-12.0,71,22,2,0,35.5,2
-14.4,85,22,1,0,42.5,2
-12.3,73,24,1,2,36.5,2
-12.5,71,26,1,2,35.5,2
-12.3,72,28,0,0,36.0,2
-12.0,72,17,1,1,36.0,2
-11.7,74,28,1,0,37.0,2
-11.9,74,20,0,2,37.0,2
-11.2,75,19,1,1,37.5,2
-11.5,79,19,0,1,39.5,2
-11.6,78,19,0,0,39.0,2
-11.2,78,17,2,0,39.0,2
-10.5,78,17,2,1,39.0,2
-10.5,79,15,1,2,39.5,2
-10.2,80,11,0,1,40.0,2
-9.5,79,9,2,2,39.5,1
-9.3,79,11,2,0,39.5,2
-9.0,79,7,2,1,39.5,1
-8.7,79,6,2,2,39.5,1
-8.5,80,0,1,2,40.0,1
-8.1,79,4,2,1,39.5,1
-7.8,79,4,1,2,39.5,1
-7.5,79,6,0,1,39.5,1
-6.9,80,4,1,0,40.0,1
-6.7,80,7,2,0,40.0,1
-7.0,81,7,0,1,40.5,1
-6.4,82,9,0,0,41.0,1
-6.1,82,7,1,0,41.0,1
-5.7,84,7,0,1,42.0,1
-5.4,84,9,1,2,42.0,1
-5.5,84,13,0,1,42.0,2
-4.8,83,15,1,1,41.5,2
-4.4,83,6,2,1,41.5,1
-3.7,83,11,1,0,41.5,2
-3.6,84,0,1,2,42.0,1
-3.1,84,13,2,0,42.0,2
-3.2,85,6,1,0,42.5,1
-3.0,86,6,1,1,43.0,1
-1.8,87,4,0,0,43.5,1
-1.3,88,0,1,2,44.0,1
-1.5,89,4,0,1,44.5,1
0.4,87,22,2,2,43.5,2
0.6,76,32,0,2,38.0,2
-0.6,74,32,0,0,37.0,2
-1.7,71,30,2,0,35.5,2
-3.5,69,32,0,0,34.5,2
-4.4,69,22,2,1,34.5,2
-5.9,70,13,1,0,35.0,2
-5.8,68,13,1,2,34.0,2
-5.6,69,11,0,2,34.5,2
-5.9,69,11,1,1,34.5,2
-6.4,65,17,2,0,32.5,2
-6.5,67,17,1,2,33.5,2
-7.1,65,22,2,2,32.5,2
-6.7,66,15,1,2,33.0,2
-6.5,63,15,0,2,31.5,2
-6.5,65,19,1,1,32.5,2
-6.6,61,20,1,2,30.5,2
-6.6,59,20,1,2,29.5,2
-7.2,59,17,2,2,29.5,2
-8.1,62,17,2,2,31.0,2
-8.0,62,15,0,2,31.0,2
-8.3,65,15,2,0,32.5,2
-8.3,64,11,1,1,32.0,2
-8.7,65,7,1,1,32.5,1
-9.0,68,7,2,0,34.0,1
-9.2,66,6,1,2,33.0,1
-9.8,68,0,0,0,34.0,1
-9.0,66,4,0,2,33.0,1
-8.8,70,0,2,2,35.0,1
-8.5,69,9,2,2,34.5,1
-8.4,71,11,0,1,35.5,2
-7.7,72,11,0,0,36.0,2
-6.8,72,15,2,2,36.0,2
-5.9,70,13,2,0,35.0,2
-5.4,75,11,2,2,37.5,2
-4.8,76,9,1,1,38.0,1
-3.7,77,7,2,0,38.5,1
-2.5,73,9,2,0,36.5,1
-1.7,74,7,1,1,37.0,1
-1.4,76,7,0,1,38.0,1
-1.0,74,9,2,1,37.0,1
-1.3,72,11,1,2,36.0,2
-1.4,72,15,2,2,36.0,2
-1.0,71,20,2,0,35.5,2
-1.1,70,19,1,2,35.0,2
-1.5,70,15,0,1,35.0,2
-1.7,71,11,1,0,35.5,2
-0.3,64,19,2,2,32.0,2
-0.2,64,17,0,1,32.0,2
2.5,57,30,1,1,28.5,2
2.3,66,35,1,2,33.0,2
1.4,75,19,0,0,37.5,2
1.6,77,28,2,2,38.5,2
1.2,81,26,1,2,40.5,2
0.8,86,30,1,1,43.0,2
0.7,87,30,1,0,43.5,2
1.5,85,20,2,2,42.5,2
1.2,85,24,1,0,42.5,2
1.6,84,17,0,0,42.0,2
2.0,81,24,0,1,40.5,2
2.6,77,22,1,1,38.5,2
1.4,72,30,1,1,36.0,2
0.7,64,26,0,2,32.0,2
-0.2,64,26,0,2,32.0,2
-1.4,61,30,1,0,30.5,2
-3.1,55,30,0,2,27.5,2
-4.0,54,17,2,1,27.0,2
-4.9,54,15,2,2,27.0,2
-5.7,53,15,2,0,26.5,2
-6.4,53,13,2,2,26.5,2
-6.6,57,9,0,2,28.5,1
-7.3,55,13,2,0,27.5,2
-8.6,57,19,1,0,28.5,2
-9.5,55,17,1,2,27.5,2
-10.7,56,17,2,1,28.0,2
-12.0,56,19,1,1,28.0,2
-12.7,57,19,2,1,28.5,2
-13.4,57,17,2,1,28.5,2
-13.9,55,19,2,2,27.5,2
-14.4,57,20,1,2,28.5,2
-14.4,57,13,1,0,28.5,2
-14.7,57,15,2,0,28.5,2
-14.3,58,15,2,2,29.0,2
-13.9,55,11,2,1,27.5,2
-13.4,54,15,2,0,27.0,2
-12.7,53,17,0,0,26.5,2
-12.2,52,19,2,2,26.0,2
-11.4,52,20,1,2,26.0,2
-11.6,50,20,2,1,25.0,2
-11.8,47,20,0,2,23.5,2
-11.9,51,26,1,0,25.5,2
-12.0,52,24,0,0,26.0,2
-11.8,54,30,2,1,27.0,2
-11.2,57,24,1,1,28.5,2
-11.2,65,19,2,1,32.5,2
-10.8,65,22,1,2,32.5,2
-10.7,67,20,1,2,33.5,2
-10.0,66,19,1,1,33.0,2
-9.8,65,24,0,0,32.5,2
-9.4,64,26,2,0,32.0,2
-9.0,63,33,0,2,31.5,2
-8.5,64,22,0,0,32.0,2
-8.0,64,30,2,2,32.0,2
-7.6,65,28,2,0,32.5,2
-7.3,65,28,2,2,32.5,2
-7.1,72,33,1,2,36.0,2
-6.8,75,33,0,0,37.5,2
-6.2,77,35,0,0,38.5,2
-6.0,76,32,0,2,38.0,2
-5.8,79,32,0,0,39.5,2
-5.8,81,33,0,1,40.5,2
-5.7,81,28,1,2,40.5,2
-5.2,83,26,2,0,41.5,2
-4.9,83,33,1,0,41.5,2
-5.1,83,33,1,0,41.5,2
-5.4,81,35,1,1,40.5,2
-5.0,82,30,2,2,41.0,2
-5.0,81,28,2,1,40.5,2
-4.7,80,24,0,0,40.0,2
-4.1,81,26,1,1,40.5,2
-4.6,83,28,0,1,41.5,2
-5.1,83,28,2,2,41.5,2
-5.0,81,24,2,2,40.5,2
-4.8,81,22,2,0,40.5,2
-4.5,83,19,2,1,41.5,2
-5.0,83,24,1,2,41.5,2
-5.1,82,20,0,1,41.0,2
-5.4,83,22,2,1,41.5,2
-5.1,82,22,0,2,41.0,2
-5.1,83,26,2,2,41.5,2
-5.0,84,32,0,2,42.0,2
-4.8,83,26,0,0,41.5,2
-4.8,83,28,2,2,41.5,2
-4.8,81,24,2,1,40.5,2
-4.9,83,20,0,2,41.5,2
-4.8,85,6,1,2,42.5,1
-4.3,85,13,2,0,42.5,2
-3.7,84,11,2,0,42.0,2
-2.9,87,15,1,1,43.5,2
-1.7,89,26,1,0,44.5,2
-2.5,86,33,2,1,43.0,2
-3.2,87,32,2,0,43.5,2
-4.8,79,37,2,1,39.5,2
-5.5,70,32,2,1,35.0,2
-7.6,75,35,0,0,37.5,2
-8.9,72,39,0,1,36.0,2
-9.7,69,24,0,0,34.5,2
-11.2,70,28,2,2,35.0,2
-12.0,71,24,0,2,35.5,2
-13.4,63,20,2,0,31.5,2
-14.3,63,24,2,2,31.5,2
-15.2,63,24,0,2,31.5,2
-16.8,63,26,2,0,31.5,2
-17.9,62,20,0,0,31.0,2
-18.0,61,19,0,0,30.5,2
-18.0,60,22,0,2,30.0,2
-17.8,59,20,0,1,29.5,2
-17.5,58,20,0,0,29.0,2
-17.1,55,17,1,0,27.5,2
-16.7,56,17,1,2,28.0,2
-16.7,56,22,1,1,28.0,2
-16.7,52,19,1,1,26.0,2
-17.4,54,13,1,1,27.0,2
-17.7,56,20,0,0,28.0,2
-18.3,59,17,2,2,29.5,2
-19.6,58,13,2,2,29.0,2
-20.0,59,11,0,2,29.5,2
-19.9,58,13,2,2,29.0,2
-20.3,59,9,2,2,29.5,1
-21.2,61,11,1,1,30.5,2
-21.1,61,9,1,1,30.5,1
-21.4,63,9,1,1,31.5,1
-20.7,62,4,2,1,31.0,1
-21.0,61,0,1,0,30.5,1
-21.3,63,6,0,1,31.5,1
-23.2,62,7,2,1,31.0,1
-22.8,62,9,2,0,31.0,1
-23.3,62,7,1,0,31.0,1
-22.2,60,9,0,0,30.0,1
-20.6,58,9,1,0,29.0,1
-19.3,55,9,1,0,27.5,1
-18.0,52,13,2,0,26.0,2
-16.8,53,20,2,0,26.5,2
-16.0,53,26,1,0,26.5,2
-15.4,53,24,2,1,26.5,2
-15.1,52,24,2,2,26.0,2
-16.2,55,15,2,2,27.5,2
-16.3,57,17,1,1,28.5,2
-16.3,58,20,2,1,29.0,2
-16.7,61,17,1,1,30.5,2
-16.9,63,15,2,1,31.5,2
-16.9,66,17,0,2,33.0,2
-16.9,68,15,2,2,34.0,2
-17.1,66,15,1,2,33.0,2
-17.8,65,6,2,0,32.5,1
-18.5,68,6,1,2,34.0,1
-19.2,67,6,1,1,33.5,1
-18.7,66,0,2,2,33.0,1
-19.1,69,0,1,0,34.5,1
-18.7,68,0,2,0,34.0,1
-17.9,73,4,0,2,36.5,1
-17.9,67,9,1,1,33.5,1
-14.4,59,22,1,0,29.5,2
-13.6,65,19,1,2,32.5,2
-12.7,66,20,1,1,33.0,2
-10.7,60,19,0,0,30.0,2
-10.1,61,13,0,1,30.5,2
-9.0,68,13,2,1,34.0,2
-8.0,63,17,1,1,31.5,2
-7.1,57,9,1,0,28.5,1
-7.6,56,4,0,1,28.0,1
-12.5,66,15,2,0,33.0,2
-14.8,70,15,0,1,35.0,2
-14.0,70,13,0,2,35.0,2
-12.9,71,11,2,1,35.5,2
-12.2,70,9,1,1,35.0,1
-11.5,71,7,1,1,35.5,1
-10.8,71,9,0,1,35.5,1
-10.4,71,9,0,2,35.5,1
-9.7,73,9,0,0,36.5,1
-9.2,73,6,2,1,36.5,1
-9.0,78,6,2,1,39.0,1
-8.3,85,6,0,1,42.5,1
-7.7,84,6,1,2,42.0,1
-7.5,85,9,1,2,42.5,1
-7.4,84,9,2,1,42.0,1
-7.0,82,15,2,1,41.0,2
-6.5,82,15,1,1,41.0,2
-6.1,83,15,2,1,41.5,2
-5.3,82,19,1,0,41.0,2
-5.1,82,22,0,0,41.0,2
-4.3,85,22,2,0,42.5,2
-3.7,84,24,0,1,42.0,2
-3.5,83,28,2,2,41.5,2
-3.6,84,22,2,1,42.0,2
-3.5,84,22,0,2,42.0,2
-3.3,84,24,0,1,42.0,2
-3.6,85,24,2,1,42.5,2
-2.9,86,26,0,2,43.0,2
-1.6,89,17,1,0,44.5,2
-0.6,90,7,1,1,45.0,1
2.1,90,11,0,1,45.0,2
3.7,66,83,1,1,33.0,2
0.5,72,70,1,0,36.0,2
-3.5,70,57,1,1,35.0,2
-6.1,69,48,2,0,34.5,2
-7.7,69,46,1,1,34.5,2
-8.5,65,39,1,1,32.5,2
-9.8,64,39,0,0,32.0,2
-10.9,63,35,1,2,31.5,2
-11.2,61,43,2,1,30.5,2
-11.2,61,35,2,1,30.5,2
-11.1,58,39,0,1,29.0,2
-11.0,57,37,2,0,28.5,2
-10.6,55,32,2,2,27.5,2
-10.3,55,28,1,0,27.5,2
-10.4,54,30,1,2,27.0,2
-10.6,53,26,2,2,26.5,2
-11.3,54,26,0,1,27.0,2
-12.0,60,22,0,0,30.0,2
-12.7,61,22,1,0,30.5,2
-13.4,62,17,2,0,31.0,2
-13.7,63,17,1,1,31.5,2
-14.2,62,13,0,0,31.0,2
-14.9,66,6,2,0,33.0,1
-16.6,69,7,1,1,34.5,1
-15.2,76,4,1,1,38.0,1
-14.3,77,6,0,0,38.5,1
-18.0,73,6,1,1,36.5,1
-15.4,78,7,0,0,39.0,1
-16.6,76,6,0,1,38.0,1
-15.3,69,6,2,0,34.5,1
-14.6,68,6,2,1,34.0,1
-13.7,68,19,1,2,34.0,2
-12.7,69,17,0,1,34.5,2
-11.7,64,20,0,0,32.0,2
-11.0,62,26,2,1,31.0,2
-8.8,59,15,2,0,29.5,2
-7.3,55,20,0,1,27.5,2
-7.0,53,20,2,1,26.5,2
-6.7,52,26,1,0,26.0,2
-6.7,52,24,0,0,26.0,2
-6.9,54,17,2,2,27.0,2
-5.0,54,19,1,2,27.0,2
-3.6,49,30,0,0,24.5,0
-3.7,53,30,1,0,26.5,2
-5.0,77,24,1,1,38.5,2
-4.2,68,32,0,2,34.0,2
-4.1,69,26,1,0,34.5,2
-4.1,71,26,2,1,35.5,2
-4.1,73,20,2,1,36.5,2
-3.9,73,22,2,2,36.5,2
-4.8,67,19,1,2,33.5,2
-6.0,72,19,2,2,36.0,2
-6.3,63,33,1,1,31.5,2
-7.6,59,28,2,0,29.5,2
-8.6,57,28,0,1,28.5,2
-10.4,62,33,1,2,31.0,2
-12.2,61,32,1,1,30.5,2
-13.7,57,33,2,2,28.5,2
-14.2,55,32,0,1,27.5,2
-15.2,56,30,2,2,28.0,2
-15.8,51,30,2,1,25.5,2
-15.5,48,30,0,0,24.0,0
-15.0,47,30,0,1,23.5,0
-14.8,45,24,2,2,22.5,0
-15.4,46,17,0,2,23.0,2
-15.9,48,13,2,0,24.0,2
-16.3,51,13,1,2,25.5,2
-16.9,50,9,2,0,25.0,1
-18.5,54,9,1,0,27.0,1
-18.1,54,9,2,1,27.0,1
-17.4,54,6,0,1,27.0,1
-16.4,53,6,1,2,26.5,1
-16.1,52,0,0,2,26.0,1
-15.3,53,0,1,1,26.5,1
-15.9,60,7,1,2,30.0,1
-15.3,58,7,2,2,29.0,1
-14.8,50,11,2,2,25.0,2
-14.3,52,9,2,0,26.0,1
-13.9,50,9,2,0,25.0,1
-14.0,52,9,0,2,26.0,1
-15.9,65,13,2,0,32.5,2
-16.3,65,17,2,2,32.5,2
-15.9,64,19,1,1,32.0,2
-14.6,62,15,0,0,31.0,2
-13.4,59,15,0,2,29.5,2
-12.5,55,13,1,2,27.5,2
-11.8,56,11,1,2,28.0,2
-11.6,55,7,2,1,27.5,1
-12.1,53,11,0,1,26.5,2
-13.0,55,6,2,2,27.5,1
-13.4,58,4,1,0,29.0,1
-18.5,60,4,2,2,30.0,1
-16.0,66,9,0,1,33.0,1
-17.6,61,0,2,1,30.5,1
-17.4,69,0,0,0,34.5,1
-18.3,70,0,2,2,35.0,1
-17.5,72,4,2,0,36.0,1
-18.5,70,0,0,1,35.0,1
-18.4,67,0,0,2,33.5,1
-17.2,69,0,0,2,34.5,1
-19.5,71,6,2,0,35.5,1
-19.0,71,6,2,0,35.5,1
-18.6,69,6,2,0,34.5,1
-18.5,74,4,1,1,37.0,1
-16.2,78,7,2,1,39.0,1
-14.5,80,9,0,1,40.0,1
-13.0,81,6,0,2,40.5,1
-11.5,73,9,0,2,36.5,1
-11.2,68,11,2,0,34.0,2
-9.4,65,9,0,0,32.5,1
-8.7,63,9,0,1,31.5,1
-8.0,59,6,1,0,29.5,1
-9.5,60,19,1,1,30.0,2
-10.4,63,19,0,1,31.5,2
-10.4,62,19,1,2,31.0,2
-12.3,69,15,1,1,34.5,2
-12.9,70,15,0,2,35.0,2
-13.2,73,13,2,1,36.5,2
-13.3,73,9,2,0,36.5,1
-12.9,71,11,0,2,35.5,2
-12.9,70,11,2,1,35.0,2
-13.2,72,13,1,1,36.0,2
-12.1,73,13,0,2,36.5,2
-11.2,72,11,2,0,36.0,2
-9.9,73,11,2,2,36.5,2
-8.8,73,7,1,2,36.5,1
-8.1,73,13,0,0,36.5,2
-7.2,74,11,0,0,37.0,2
-4.9,72,11,1,0,36.0,2
-3.6,72,9,0,2,36.0,1
1.2,72,11,0,0,36.0,2
2.3,71,6,1,2,35.5,1
2.5,75,22,1,2,37.5,2
2.7,76,26,2,2,38.0,2
2.7,77,30,0,0,38.5,2
3.1,78,28,1,0,39.0,2
3.1,78,28,2,2,39.0,2
3.0,88,19,0,2,44.0,2
3.2,88,22,2,0,44.0,2
2.9,89,26,1,2,44.5,2
3.3,89,24,0,1,44.5,2
3.6,91,28,2,2,45.5,2
4.0,90,22,1,1,45.0,2
3.5,92,17,1,1,46.0,2
3.1,92,19,1,2,46.0,2
3.1,93,9,1,2,46.5,1
5.0,91,19,1,2,45.5,2
4.2,81,30,1,1,40.5,2
3.7,76,41,1,0,38.0,2
3.4,75,28,2,1,37.5,2
2.9,75,26,0,1,37.5,2
3.0,71,28,0,1,35.5,2
2.9,71,30,2,0,35.5,2
3.0,70,35,1,1,35.0,2
3.1,70,33,0,1,35.0,2
3.2,67,30,1,2,33.5,2
2.8,69,39,0,0,34.5,2
2.4,71,35,1,1,35.5,2
1.9,74,26,2,1,37.0,2
1.7,74,30,1,2,37.0,2
1.6,73,26,0,0,36.5,2
1.5,72,22,1,0,36.0,2
1.5,71,32,0,2,35.5,2
1.3,72,19,1,1,36.0,2
1.1,74,20,0,2,37.0,2
1.1,72,22,0,0,36.0,2
1.0,72,28,0,0,36.0,2
0.5,69,28,1,1,34.5,2
-0.1,68,22,0,1,34.0,2
-0.4,66,20,1,0,33.0,2
-0.5,65,24,2,0,32.5,2
-0.7,67,24,2,2,33.5,2
-1.7,64,33,0,2,32.0,2
-2.8,62,35,1,1,31.0,2
-3.9,63,37,0,2,31.5,2
-4.7,62,26,1,0,31.0,2
-5.2,62,28,1,2,31.0,2
-5.3,62,22,2,2,31.0,2
-5.3,60,19,1,0,30.0,2
-5.0,59,20,1,2,29.5,2
-4.7,58,20,0,0,29.0,2
-4.5,60,22,0,2,30.0,2
-4.4,59,22,1,0,29.5,2
-4.4,59,19,2,0,29.5,2
-4.8,60,20,0,1,30.0,2
-5.1,61,11,0,1,30.5,2
-5.4,62,13,2,2,31.0,2
-4.9,59,7,0,1,29.5,1
-5.4,64,7,1,2,32.0,1
-5.5,64,0,1,2,32.0,1
-5.4,63,6,1,2,31.5,1
-5.9,64,6,0,2,32.0,1
-7.0,67,4,0,2,33.5,1
-8.2,71,6,0,2,35.5,1
-8.1,71,0,0,1,35.5,1
-8.5,67,0,1,1,33.5,1
-9.0,68,6,2,1,34.0,1
-11.2,73,6,1,0,36.5,1
-10.6,74,6,0,0,37.0,1
-9.2,72,6,1,2,36.0,1
-7.9,70,11,2,0,35.0,2
-5.7,59,11,1,1,29.5,2
-5.0,57,7,2,2,28.5,1
-4.6,54,11,0,2,27.0,2
-4.0,54,15,1,1,27.0,2
-3.4,49,11,1,2,24.5,2
-3.0,42,13,1,0,21.0,2
-3.8,52,19,1,2,26.0,2
-4.3,54,20,0,2,27.0,2
-4.7,49,24,2,1,24.5,0
-4.5,49,17,2,0,24.5,2
-4.6,52,17,1,0,26.0,2
-5.2,58,20,0,2,29.0,2
-5.3,68,22,2,0,34.0,2
-5.8,77,22,2,0,38.5,2
-5.7,79,28,2,0,39.5,2
-5.5,81,24,2,0,40.5,2
-5.5,81,26,2,0,40.5,2
-5.3,81,28,2,2,40.5,2
-4.9,81,26,0,2,40.5,2
-4.0,82,22,1,0,41.0,2
-2.1,86,19,2,1,43.0,2
-0.8,86,22,0,0,43.0,2
0.3,86,20,0,1,43.0,2
0.7,86,17,1,2,43.0,2
0.6,88,17,1,2,44.0,2
0.7,88,20,2,2,44.0,2
0.7,89,20,1,0,44.5,2
0.7,88,22,1,2,44.0,2
0.5,88,20,0,0,44.0,2
0.3,87,19,0,0,43.5,2
-0.3,86,19,0,2,43.0,2
-0.6,88,22,2,2,44.0,2
-0.3,90,11,2,2,45.0,2
0.1,88,30,1,1,44.0,2
-0.7,86,32,1,1,43.0,2
-1.3,82,19,2,0,41.0,2
-1.5,81,19,2,1,40.5,2
-1.6,81,20,0,1,40.5,2
-1.5,81,19,2,2,40.5,2
-0.2,82,22,2,2,41.0,2
0.2,81,24,1,0,40.5,2
0.4,78,17,1,0,39.0,2
0.1,77,15,0,1,38.5,2
0.3,80,19,2,0,40.0,2
-1.7,76,9,1,2,38.0,1
-1.2,78,11,2,2,39.0,2
-2.1,80,7,2,1,40.0,1
-1.6,81,13,0,2,40.5,2
-1.1,78,13,2,2,39.0,2
-0.6,80,6,0,2,40.0,1
-0.3,80,7,1,2,40.0,1
0.9,72,4,1,2,36.0,1
1.2,71,9,1,1,35.5,1
1.2,70,15,1,0,35.0,2
1.4,69,22,0,1,34.5,2
1.2,71,11,0,1,35.5,2
1.6,69,9,1,1,34.5,1
2.2,71,19,1,0,35.5,2
1.7,81,24,1,2,40.5,2
2.1,76,24,0,0,38.0,2
2.3,73,37,1,1,36.5,2
1.2,81,52,0,0,40.5,2
1.5,62,57,2,1,31.0,2
0.9,63,52,1,2,31.5,2
0.3,64,52,0,1,32.0,2
-0.2,65,43,0,2,32.5,2
-0.9,63,43,0,1,31.5,2
-1.5,62,43,2,1,31.0,2
-2.0,63,44,1,0,31.5,2
-1.9,62,32,0,2,31.0,2
-2.2,63,32,1,1,31.5,2
-2.1,62,32,0,2,31.0,2
-1.8,61,24,1,0,30.5,2
-0.8,59,33,2,2,29.5,2
0.1,56,37,0,0,28.0,2
0.5,50,33,0,0,25.0,2
0.4,54,19,2,2,27.0,2
0.2,56,17,1,2,28.0,2
0.7,51,20,0,1,25.5,2
-0.7,56,11,2,0,28.0,2
-1.1,54,17,0,2,27.0,2
-1.6,56,17,0,0,28.0,2
-2.0,58,17,0,1,29.0,2
-1.7,60,9,1,2,30.0,1
-2.3,70,15,2,2,35.0,2
-3.4,73,15,2,0,36.5,2
-3.7,68,11,2,2,34.0,2
-4.4,65,15,2,2,32.5,2
-5.1,68,15,0,0,34.0,2
-6.1,72,11,1,1,36.0,2
-7.7,72,11,2,2,36.0,2
-7.9,63,13,1,1,31.5,2
-8.9,61,15,2,0,30.5,2
-9.8,61,15,2,0,30.5,2
-10.5,59,9,0,1,29.5,1
-9.5,56,13,0,2,28.0,2
-8.8,56,17,0,2,28.0,2
-7.7,57,19,1,0,28.5,2
-7.0,56,22,0,0,28.0,2
-7.5,54,22,0,2,27.0,2
-6.7,52,22,2,1,26.0,2
-6.9,51,22,2,0,25.5,2
-7.3,51,17,0,2,25.5,2
-7.4,51,13,0,2,25.5,2
-7.4,52,15,1,2,26.0,2
-8.8,56,7,1,1,28.0,1
-9.5,59,4,2,2,29.5,1
-8.4,57,4,1,0,28.5,1
-7.8,55,4,0,1,27.5,1
-8.6,66,6,0,0,33.0,1
-7.0,62,7,2,1,31.0,1
-7.1,62,6,0,2,31.0,1
-6.5,59,11,0,2,29.5,2
-6.8,64,15,0,1,32.0,2
-7.1,66,17,0,2,33.0,2
-7.1,67,17,1,0,33.5,2
-7.0,69,13,1,2,34.5,2
-9.6,73,17,1,1,36.5,2
-9.8,72,19,1,0,36.0,2
-10.1,71,17,1,0,35.5,2
-9.7,70,19,2,1,35.0,2
-9.3,67,20,0,0,33.5,2
-8.6,69,22,2,0,34.5,2
-8.3,73,20,0,1,36.5,2
-8.4,75,20,0,0,37.5,2
-8.2,74,17,0,2,37.0,2
-8.0,76,20,2,2,38.0,2
-7.7,77,19,0,1,38.5,2
-7.8,77,20,0,0,38.5,2
